reference,name,price,height,length,width,weigth
42025,LAMPADA MOTO FAROL M5 12V 25/25W ORIGINAL NARVA,"7,82",20,20,20,500
42027,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"7,94",20,20,20,500
48004,LAMPADA HB1(9004) 12V 65/45W ORIGINAL STD NARVA,"15,14",20,20,20,500
48005,LAMPADA HB3(9005) 12V 60W ORIGINAL STD NARVA,"15,16",20,20,20,500
48006,LAMPADA HB4(9006) 12V 51W ORIGINAL STD NARVA,"22,53",20,20,20,500
48007,LAMPADA HB5(9007) 12V 65/55W ORIGINAL STD NARVA,"29,76",20,20,20,500
48041,LAMPADA H27W/1 12V 27W ORIGINAL STD NARVA,"16,54",20,20,20,500
48042,LAMPADA H27W/2 12V 27W ORIGINAL STD NARVA,"16,54",20,20,20,500
48052,"LAMPADA 0896 12,8V 37,5W NARVA ORIGINAL STD","17,08",20,20,20,500
48055,"LAMPADA 0885 12,8V 50W NARVA ORIGINAL STD","17,34",20,20,20,500
48056,"LAMPADA 0886 12,8V 50W NARVA ORIGINAL STD","17,08",20,20,20,500
48060,LAMPADA MOTO FAROL H4 12V 35/35 NARVA(SUPER BRANCA,"20,24",20,20,20,500
48072,LAMPADA H11 12V 55/60W ORIGINAL STD NARVA,"45,57",20,20,20,500
48076,LAMPADA H8 12V 35W ORIGINAL STD NARVA,"54,90",20,20,20,500
48077,LAMPADA H9 12V 65W ORIGINAL STD NARVA,"77,94",20,20,20,500
48092,LAMPADA H13(9008) 12V 60/55W NARVA ORIGINAL STD US,"48,30",20,20,20,500
48095,LAMPADA H10(9145) 12V 42W ORIGINAL STD NARVA USA,"26,08",20,20,20,500
48097,LAMPADA H12(9055) 12V 53W ORIGINAL STD NARVA USA,"26,08",20,20,20,500
48222,LAMPADA MOTO FAROL H4 12V 35/35 NARVA (COMPETIÇÃO),"16,98",20,20,20,500
48320,LAMPADA H1 12V 55W ORIGINAL STD NARVA,"6,65",20,20,20,500
48321,LAMPADA H3 12V 55W ORIGINAL STD NARVA,"6,62",20,20,20,500
48328,LAMPADA H7 12V 55W ORIGINAL STD NARVA,"14,56",20,20,20,500
48350,LAMPADA H1 12V 100W NARVA (COMPETIÇÃO),"10,06",20,20,20,500
48351,LAMPADA H3 12V 100W NARVA (COMPETIÇÃO),"8,78",20,20,20,500
48613,LAMPADA HB4(9006) 12V 51W NARVA (SUP.POTENC.) AZUL,"32,96",20,20,20,500
48616,LAMPADA HB3(9005) 12V 60W NARVA (SUP.POTENC.) AZUL,"33,20",20,20,20,500
48630,LAMPADA H1 12V 55W NARVA (SUPER POTENCIA) AZUL,"62,20",20,20,20,500
48633,LAMPADA H3 12V 55W NARVA (SUPER POTENCIA) AZUL,"29,24",20,20,20,500
48638,LAMPADA H7 12V 55W NARVA (SUPER POTENCIA) AZUL,"100,38",20,20,20,500
48677,LAMPADA H4 12V 60/55W NARVA (SUPER POTENCIA) AZUL,"23,70",20,20,20,500
48700,LAMPADA H3 24V 70W ORIGINAL STD NARVA,"16,98",20,20,20,500
48702,LAMPADA H1 24V 70W ORIGINAL STD NARVA,"13,32",20,20,20,500
48708,LAMPADA H1 24V 70W NARVA (SERVIÇO PESADO),"20,38",20,20,20,500
48709,LAMPADA H3 24V 70W NARVA (SERVIÇO PESADO),"15,22",20,20,20,500
48728,LAMPADA H7 24V 70W ORIGINAL STD NARVA,"26,32",20,20,20,500
48729,LAMPADA H7 24V 75/70W NARVA (SERVIÇO PESADO),"64,96",20,20,20,500
48750,LAMPADA H1 24V 100W NARVA (COMPETIÇÃO),"26,32",20,20,20,500
48751,LAMPADA H3 24V 100W NARVA (COMPETIÇÃO),"20,38",20,20,20,500
48881,LAMPADA H4 12V 55W ORIGINAL STD NARVA,"10,45",20,20,20,500
48884,LAMPADA H5 12V 60/55W NARVA (COMPETIÇÃO),"9,54",20,20,20,500
48888,LAMPADA H4 12V 55W NARVA (SEVIÇO PESADO),"19,58",20,20,20,500
48889,LAMPADA H4 12V 60/55W NARVA (LONGA VIDA),"19,58",20,20,20,500
48892,LAMPADA H4 24V 75/70W ORIGINAL STD NARVA,"15,42",20,20,20,500
48894,LAMPADA H5 24V 75/70W NARVA (COMPETIÇÃO),"17,70",20,20,20,500
48898,LAMPADA H4 24V 70W NARVA (SERVIÇO PESADO),"24,74",20,20,20,500
48904,LAMPADA H4 (H5) 12V 100/90W NARVA (COMPETIÃO)P45T,"14,90",20,20,20,500
48954,LAMPADA H4 (H5) 12V 130/100W NARVA (COMPETIÇÃO)P45,"20,24",20,20,20,500
49014,LAMPADA MOTO FAROL ASSIMETRICA 12V 15W NARVA ORIG.,"7,02",20,20,20,500
49072,LAMPADA MOTO FAROL 1141 12V 35W ORIGINAL NARVA,"66,82",20,20,20,500
49211,LAMPADA ASSIMETRICA 12V 45/40W P45T ORIGINAL NARVA,"8,00",20,20,20,500
49321,LAMPADA ASSIMETRICA 24V 55/50W P45T ORIGINAL NARVA,"10,82",20,20,20,500
49671,LAMPADA MOTO FAROL 1034 12V 45/40W ORIGINAL NARVA,"9,94",20,20,20,500
68161,LAMPADA H6 12V 6W HAL. NARVAORIGINAL STD (68162),"14,16",20,20,20,500
68162,LAMPADA H6 12V 6W HAL. NARVA (LONGA VIDA) (68161),"13,12",20,20,20,500
68163,LAMPADA H6 12V 6W HAL. NARVA (SUPER POTENCIA) AZUL,"16,54",20,20,20,500
68191,LAMPADA H21 12V 21W HAL. NARVA PISCA (VECTRA),"14,16",20,20,20,500
68196,LAMPADA H21 24V 21W HAL. NARVA ORIGINAL STD,"22,76",20,20,20,500
98502,KIT LAMPADA H1 12V 55W NARVA (SUPER POTENCIA) AZUL,"65,84",20,20,20,500
98504,KIT LAMPADA H4 12V 60/55W NARVA (SUP.POTENCIA)AZUL,"68,45",20,20,20,500
98508,KIT LAMPADA H7 12V 55W NARVA (SUPER POTENCIA),"80,85",20,20,20,500
98509,KIT LAMPADA H7 12V 55W NARVA (SUPER POTENCIA),"80,85",20,20,20,500
98513,KIT LAMPADA H4 12V 100/90W NARVA (SUPER POTENCIA),"33,99",20,20,20,500
98551,KIT LAMPADA HB3(9005) 12V 60W NARVA (SUP. POTENCIA,"90,22",20,20,20,500
98651,KIT LAMPADA H1 12V 55W NARVA (ALTO CONTRASTE),"90,22",20,20,20,500
98655,KIT LAMPADA HB3(9005) 12V 60W NARVA (ALTO CONTRAST,"90,22",20,20,20,500
98656,KIT LAMPADA HB4(9006) 12V 51W NARVA (ALTO CONTRAST,"90,22",20,20,20,500
98657,KIT LAMPADA H7 12V 55W NARVA (ALTO CONTRASTE),"90,22",20,20,20,500
98671,KIT LAMPADA H1 12V 105W NARVA (COMPETIÇÃO),"54,70",20,20,20,500
98750,KIT LAMPADA BASE PLASTICA 150 PÇS 15 MODELOS NARVA,"383,64",20,20,20,500
104360,SENSOR NIVEL RESERVATARIO GOL/SANTANA,"28,70",20,20,20,500
202460,INTERRUPTOR DESEMBASADOR VIDRO TRAZ ESCORT/VERONA,"38,50",20,20,20,500
202461,INTERRUPTOR MILHA ESCORT/VERONA 93>,"41,60",20,20,20,500
221004025,BOIA TANQUE BRASILIA/VARIANT 73->77,"30,38",20,20,20,500
221030013,BOIA TANQUE GOL/VOYAGE/PARATI GASOLINA,"94,50",20,20,20,500
001.002OPR,BOIA TANQUE F100/F1000 76->92,"86,40","0,2","0,2","0,2",500
001.006OPR,BOIA TANQUE CORCEL/DEL REY 83->87 GASOLINA,"127,83","0,2","0,2","0,2",500
001.007OPR,BOIA TANQUE BELINA 83->87 GASOLINA,"83,58","0,2","0,2","0,2",500
001.008OPR,BOIA TANQUE CORCEL/DEL REY 83->87 ALCOOL,"103,26","0,2","0,2","0,2",500
001.009OPR,BOIA TANQUE BELINA 83->87 ALCOOL,"82,71","0,2","0,2","0,2",500
001.010OPR,BOIA TANQUE PAMPA 4X2 83-> GASOLINA,"47,85","0,2","0,2","0,2",500
001.011OPR,BOIA TANQUE PAMPA 4X2 83->88 ALCOOL,"89,67","0,2","0,2","0,2",500
001.026OPR,BOIA TANQUE CORCEL/DEL REY C/RETORNO GAS/ALC,"82,77","0,2","0,2","0,2",500
001.027OPR,BOIA TANQUE BELINA 80 C/RETORNO ALC,"76,73","0,2","0,2","0,2",500
001.043OPR,BOIA TANQUE PAMPA 4X4 90->96 ALCOOL,"89,18","0,2","0,2","0,2",500
001.044OPR,BOIA TANQUE ESCORT 84->86 S/ALARME ALCOOL,"126,26","0,2","0,2","0,2",500
001.045OPR,BOIA TANQUE ESCORT 84->86 C/ALARME ALCOOL,"121,67","0,2","0,2","0,2",500
001.046OPR,BOIA TANQUE ESCORT 84->86 S/ALARME GASOLINA,"68,87","0,2","0,2","0,2",500
001.053OPR,BOIA TANQUE DEL REY 85->,"60,03","0,2","0,2","0,2",500
001.074OPR,BOIA TANQUE MBB TQ METALICO 210/300LT,"53,67","0,2","0,2","0,2",500
001.075OPR,BOIA TANQUE BELINA/CORCEL/JEEP GASOLINA,"39,16","0,2","0,2","0,2",500
001.088OPR,BOIA TANQUE F350/400/700/750/2000/4000,"52,81","0,2","0,2","0,2",500
001.089OPR,BOIA TANQUE F11000/13000 85->,"67,75","0,2","0,2","0,2",500
001.096OPR,BOIA TANQUE PAMPA 4X4 88-> GASOLINA,"33,90","0,2","0,2","0,2",500
001.102OPR,BOIA TANQUE PAMPA 4X2 89->97 ALCOOL,"70,43","0,2","0,2","0,2",500
001.103OPR,BOIA TANQUE PAMPA 4X4 88-> ALCOOL,"51,22",20,20,20,500
001.113OPR,BOIA TANQUE DEL REY 88->91 ALCOOL,"68,42",20,20,20,500
001.114OPR,BOIA TANQUE BELINA 87->91 ALCOOL,"86,06",20,20,20,500
001.120OPR,BOIA TANQUE MBB TQ METALICO 100/140LT,"153,47",20,20,20,500
001.130OPR,BOIA TANQUE MONZA 84->89 GASOLINA/ALCOOL,"39,88",20,20,20,500
001.132OPR,BOIA TANQUE KADETT 89->91 GASOLINA/ALCOOL,"52,23",20,20,20,500
001.135OPR,BOIA TANQUE IPANEMA 89->91 GASOLINA/ALCOOL,"42,04",20,20,20,500
001.137OPR,BOIA TANQUE MBB TQ 300LT,"130,51",20,20,20,500
001.278OPR,BOIA TANQUE CHEVETTE 84->89 GASOLINA/ALCOOL,"40,10",20,20,20,500
001.279OPR,BOIA TANQUE MARAJÓ 81->89 GASOLINA/ALCOOL,"34,38",20,20,20,500
001.280OPR,BOIA TANQUE OPALA 84L 85->89 GASOLINA/ALCOOL,"43,72",20,20,20,500
001.281OPR,BOIA TANQUE OPALA 65L 85->89 GASOLINA/ALCOOL,"73,63",20,20,20,500
001.284OPR,BOIA TANQUE MBB TQ 300LT,"129,13",20,20,20,500
001.285OPR,BOIA TANQUE CAMINHOES FORD/VW 90->93 150LT,"64,07",20,20,20,500
001.287OPR,BOIA TANQUE MBB TQ METALICO 300LT,"82,20",20,20,20,500
001.289OPR,BOIA TANQUE ROYALE 91->96 S/INJEÇÃO ALCOOL,"49,27",20,20,20,500
001.290OPR,BOIA TANQUE GOL/PARATI/...85->89 GAS C/RETORNO,"46,61",20,20,20,500
001.291OPR,BOIA TANQUE GOL/PARATI/...85->96 ALC S/RETORNO,"60,81",20,20,20,500
001.293OPR,BOIA TANQUE ROYALE 91->96 S/INJEÇÃO GASOLINA,"51,80",20,20,20,500
001.294OPR,BOIA TANQUE GOL/PARATI/...90->96 GAS C/RETORNO,"50,69",20,20,20,500
001.296OPR,BOIA TANQUE CHEVETTE HATCH 90->93 GASOLINA/ALCOOL,"37,17",20,20,20,500
001.297OPR,BOIA TANQUE MONZA 90->96 GASOLINA/ALCOOL,"38,40",20,20,20,500
001.298OPR,BOIA TANQUE CHEVETTE 90->93 GASOLINA/ALCOOL,"38,11",20,20,20,500
001.301OPR,BOIA TANQUE ESCORT 87 S/ALARME GASOLINA,"138,46",20,20,20,500
001.303OPR,BOIA TANQUE ESCORT 87 S/ALARME ALCOOL,"184,95",20,20,20,500
001.304OPR,BOIA TANQUE ESCORT 87 C/ALARME ALCOOL,"155,87",20,20,20,500
001.311OPR,BOIA TANQUE CAMINHOES GM 150 LT,"105,28",20,20,20,500
001.312OPR,BOIA TANQUE CAMINHOES GM 150 LT,"101,54",20,20,20,500
001.313OPR,BOIA TANQUE CAMINHOES GM TANQUE 104 LTS,"100,30",20,20,20,500
001.314OPR,BOIA TANQUE A20/C20/D20/D10 86->92,"72,95",20,20,20,500
001.321OPR,BOIA TANQUE PASSAT 74->82 C/RETORNO GASOLINA,"51,81",20,20,20,500
001.325OPR,BOIA TANQUE DEL REY 90->91 GASOLINA,"78,92",20,20,20,500
001.326OPR,BOIA TANQUE BELINA 90->91 GASOLINA,"83,54",20,20,20,500
001.327OPR,BOIA TANQUE PAMPA 4X2 89->97 GASOLINA,"79,17",20,20,20,500
001.328OPR,BOIA TANQUE PAMPA 4X4 GASOLINA,"57,01",20,20,20,500
001.329OPR,BOIA TANQUE ESCORT/APOLO 88->92 C/ALARME ALCOOL,"60,78",20,20,20,500
001.330OPR,BOIA TANQUE ESCORT/APOLO 88->92 S/ALARME ALCOOL,"60,78",20,20,20,500
001.331OPR,BOIA TANQUE ESCORT/APOLO 88->92 C/ALARME GASOLINA,"64,24",20,20,20,500
001.332OPR,BOIA TANQUE ESCORT/APOLO 88->92 S/ALARME GASOLINA,"61,76",20,20,20,500
001.333OPR,BOIA TANQUE KOMBI CLIPPER 93->97 GASOLINA,"48,12",20,20,20,500
001.337OPR,BOIA TANQUE LOGUS SEM INJEÇÃO 92->94 ALCOOL,"84,95",20,20,20,500
001.338OPR,BOIA TANQUE LOGUS SEM INJEÇÃO 93->94 GAS/ALC,"89,20",20,20,20,500
001.339OPR,BOIA TANQUE ESCORT 93->94 ALCOOL,"84,27",20,20,20,500
001.340OPR,BOIA TANQUE ESCORT 93->94 GASOLINA,"61,57",20,20,20,500
001.349OPR,BOIA TANQUE OPALA 90->92 TANQUE PLASTICO ALC/GAS,"83,74",20,20,20,500
001.352OPR,BOIA TANQUE MBB TQ METALICO 300LT,"186,67",20,20,20,500
001.358OPR,BOIA TANQUE KADETT 91->93 GASOLINA/ALCOOL,"40,54",20,20,20,500
001.362OPR,BOIA TANQUE CARGO 85->92 150LT,"86,69",20,20,20,500
001.363OPR,BOIA TANQUE CARGO/VW 87->92 285LT,"96,10",20,20,20,500
001.364OPR,BOIA TANQUE F1000 92-> 110LT DIESEL,"70,38",20,20,20,500
001.367OPR,BOIA TANQUE PAMPA 4X2 91->97 GASOLINA,"75,90",20,20,20,500
001.371OPR,BOIA TANQUE OMEGA 91->98 GASOLINA/ALCOOL,"73,35",20,20,20,500
001.372OPR,BOIA TANQUE SUPREMA 93-> GASOLINA/ALCOOL,"174,58",20,20,20,500
001.373OPR,BOIA TANQUE CAMINHOES FORD/VW TQ.190LT MET.,"74,75",20,20,20,500
001.374OPR,BOIA TANQUE IPANEMA 91->93 GASOLINA/ALCOOL,"42,41",20,20,20,500
001.375OPR,BOIA TANQUE C20/SILVERADO 120L 97-> GASOLINA,"99,20",20,20,20,500
001.376OPR,BOIA TANQUE A20 120L 92-> TANQUE PLASTICO ALCOOL,"100,34",20,20,20,500
001.377OPR,BOIA TANQUE CAMINHOES VW TQ PLASTICO 275LT,"99,67",20,20,20,500
001.378OPR,BOIA TANQUE F12000/14000 92->93 285LT,"84,69",20,20,20,500
001.379OPR,BOIA TANQUE BANDEIRANTE 82->93,"82,63",20,20,20,500
001.380OPR,BOIA TANQUE BANDEIRANTE 93->,"79,38",20,20,20,500
001.386OPR,BOIA TANQUE KADETT 93->97 TQ PLASTICO,"93,48",20,20,20,500
001.387OPR,BOIA TANQUE IPANEMA TANQUE PLÁSTICO ALC/GAS,"78,37",20,20,20,500
001.392OPR,BOIA TANQUE F12000/14000 93->98 275LT,"144,56",20,20,20,500
001.396OPR,BOIA TANQUE IPANEMA 94->96 GASOLINA/ALCOOL,"78,37",20,20,20,500
001.406OPR,BOIA TANQUE CAMINHOES VW TQ PLASTICO 150LT,"104,42",20,20,20,500
001.407OPR,BOIA TANQUE F12000/14000 94->98 150LT,"151,26",20,20,20,500
001.410OPR,BOIA TANQUE TRATORES AGRALE,"88,49",20,20,20,500
001.417OPR,BOIA TANQUE MBB TQ PLASTICO 210LT,"147,87",20,20,20,500
001.530OPR,BOIA TANQUE CHEVETTE 73->84 GASOLINA/ALCOOL,"39,80",20,20,20,500
001.532OPR,BOIA TANQUE CHEVETTE 84->87 GASOLINA/ALCOOL,"46,58",20,20,20,500
001.550OPR,BOIA TANQUE OPALA/... 79->84 65L,"55,89",20,20,20,500
001.598OPR,BOIA TANQUE SANTANA S/INJEÇÃO GASOLINA,"49,68",20,20,20,500
001.599OPR,BOIA TANQUE SANTANA S/INJEÇÃO ALCOOL,"49,68",20,20,20,500
001.600OPR,BOIA TANQUE PASSAT 83->88 GASOLINA 60 LTS,"60,52",20,20,20,500
001.601OPR,BOIA TANQUE PASSAT 83->88 ALCOOL 60 LTS,"69,11",20,20,20,500
001.610OPR,BOIA TANQUE GOL/VOYAGE 83->84 ALCOOL,"46,17",20,20,20,500
001.611OPR,BOIA TANQUE GOL/VOYAGE 83->84 GASOLINA,"48,36",20,20,20,500
001.650OPR,BOIA TANQUE ESCORT HOBBY 1.0 93->96 GASOLINA,"81,06",20,20,20,500
001.765OPR,BOIA TANQUE MBB TQ PLASTICO 300LT UNIPAC,"126,22",20,20,20,500
001.768OPR,BOIA TANQUE S10 2.5 97->00,"368,94",20,20,20,500
001.770OPR,BOIA TANQUE C20/SILVERADO 97-> GASOLINA,"79,51",20,20,20,500
001.771OPR,BOIA TANQUE KOMBI SEM INJEÇÃO 97 GASOLINA,"77,58",20,20,20,500
001.773OPR,BOIA TANQUE MBB TQ PLASTICO 150LT,"105,30",20,20,20,500
001.780OPR,BOIA TANQUE IPANEMA 97-> GASOLINA,"77,98",20,20,20,500
001.797OPR,BOIA TANQUE MBB TQ PLASTICO 210LT RETANGULAR,"131,75",20,20,20,500
001.823OPR,BOIA TANQUE ASTRA T-3000,"33,21",20,20,20,500
001.824OPR,BOIA TANQUE MBB 97-> 300LT,"88,11",20,20,20,500
001.829OPR,BOIA TANQUE FIESTA 96->,"33,21",20,20,20,500
001.834OPR,BOIA TANQUE 6100/6150 97-> 150LT,"141,43",20,20,20,500
001.837OPR,BOIA TANQUE F4000 99-> 150LT,"136,22",20,20,20,500
001.840OPR,BOIA TANQUE MBB TQ PLASTICO 200LT RETANGULAR,"117,48",20,20,20,500
001.850OPR,BOMBA COMPLETA VECTRA 96->TDS/CORSA,"256,22",20,20,20,500
