reference,name,price,height,length,width,weigth
17076,"LAMPADA BASE MARROM 2721 24V 1,2W NARVA","R$ 3,98",20,20,20,500
17079,"LAMPADA BASE VERDE 2721 24V 1,4W (EXCLUSIVO NARVA)","R$ 3,98",20,20,20,500
17082,"LAMPADA BASE VERDE CLARO 2721 24V 1,4 (EXCL.NARVA)","R$ 3,98",20,20,20,500
17083,LAMPADA BASE MARROM HALOGENA 12V 3W (EXCLUS. NARVA,"R$ 18,52",20,20,20,500
17094,"LAMPADA TORPEDO 8,2 X 30 MM 12V 03W NARVA","R$ 3,86",20,20,20,500
17097,LAMPADA 2821 12V 3W NARVA (PINGAO),"R$ 2,42",20,20,20,500
17102,"LAMPADA BASE MARROM 2721 24V 1,2W (EXCLUSIVO NARVA","R$ 3,98",20,20,20,500
17104,LAMPADA TORPEDO MEDIA 24V 03W NARVA,"R$ 4,64",20,20,20,500
17109,LAMPADA 2821 24V 3W NARVA (PINGAO),"R$ 1,22",20,20,20,500
17111,"LAMPADA BASE BRANCA 2721 28V 1,2W(EXCLUSIVO NARVA)","R$ 4,40",20,20,20,500
17112,"LAMPADA BASE AZUL 2741 28V 1,2W (EXCLUSIVO NARVA)","R$ 4,40",20,20,20,500
17125,LAMPADA TORPEDO 11 X 35 MM 12V 05W NARVA,"R$ 1,26",20,20,20,500
17131,LAMPADA 0069 12V 04W NARVA (P.ENCONTRADO),"R$ 1,46",20,20,20,500
17136,LAMPADA TORPEDO MEDIA 24V 05W NARVA,"R$ 1,76",20,20,20,500
17137,LAMPADA 0069 12V 04W HAL. NARVA (S.POTENCIA) AZUL,"R$ 7,16",20,20,20,500
17141,LAMPADA 0069 24V 04W NARVA (P.ENCONTRADO),"R$ 1,78",20,20,20,500
17163,LAMPADA BASE PRETA HALOGENA 12V 5W P.DIGITAL NARVA,"R$ 18,40",20,20,20,500
17169,LAMPADA 2825 12V 5W NARVA (PINGAO) AMBAR,"R$ 3,64",20,20,20,500
17171,LAMPADA 0067 12V 05W NARVA (P.ENCONTRADO),"R$ 1,42",20,20,20,500
17172,LAMPADA 0067 12V 05W NARVA (P.ENCONTRADO),"R$ 3,18",20,20,20,500
17175,"LAMPADA TORPEDO 10,5 X 43 MM 12V 05W NARVA","R$ 2,38",20,20,20,500
17177,LAMPADA 2825 12V 5W NARVA (PINGAO),"R$ 0,94",20,20,20,500
17181,LAMPADA 0067 24V 05W NARVA (P.ENCONTRADO),"R$ 1,46",20,20,20,500
17182,LAMPADA 0067 24V 05W NARVA (P.ENCONTRADO),"R$ 3,32",20,20,20,500
17186,LAMPADA 0067 24V 05W NARVA PE (SERVIÇO PESADO),"R$ 2,32",20,20,20,500
17189,LAMPADA 2825 12V 5W HAL. NARVA (S.POTENCIA) AZUL,"R$ 5,98",20,20,20,500
17197,LAMPADA 2825 24V 5W NARVA (PINGAO),"R$ 1,58",20,20,20,500
17311,LAMPADA 0067 12V 10W NARVA (P.ENCONTRADO),"R$ 1,18",20,20,20,500
17314,"LAMPADA TORPEDO 10,5 X 43 MM 12V 10W NARVA","R$ 1,16",20,20,20,500
17315,"LAMPADA TORPEDO 10,5 X 30 MM 12V 10W NARVA IMPORT.","R$ 2,00",20,20,20,500
17316,"LAMPADA TORPEDO 10,5 X 38 MM 12V 10W NARVA","R$ 1,66",20,20,20,500
17317,LAMPADA 0067 12V 10W NARVA (P.ENCONTRADO) AMBAR,"R$ 4,04",20,20,20,500
17322,LAMPADA 0069 24V 10W NARVA (P.ENCONTRADO),"R$ 3,32",20,20,20,500
17326,LAMPADA 0067 24V 10W NARVA (P.ENCONTRADO),"R$ 1,48",20,20,20,500
17327,LAMPADA TORPEDO LONGA 24V 10W NARVA,"R$ 2,34",20,20,20,500
17410,LAMPADA 1141 12V 15W NARVA,"R$ 2,20",20,20,20,500
17411,LAMPADA 1141 12V 15W NARVA,"R$ 2,20",20,20,20,500
17420,LAMPADA 1141 24V 15W NARVA,"R$ 2,52",20,20,20,500
17421,LAMPADA 1141 24V 15W NARVA,"R$ 2,52",20,20,20,500
17512,LAMPADA TORPEDO 15 X 43 MM 12V 21W NARVA,"R$ 4,08",20,20,20,500
17522,LAMPADA TORPEDO CURTA 24V 18W NARVA,"R$ 6,12",20,20,20,500
17629,LAMPADA 1156 12V 21W NARVA GR. (BASE VIDRO) AMBAR,"R$ 20,28",20,20,20,500
17631,LAMPADA SUPER PINGO 12V W16W NARVA,"R$ 5,16",20,20,20,500
17632,LAMPADA 1156 12V 21W NARVA (BASE VIDRO),"R$ 6,90",20,20,20,500
17634,"LAMPADA TORPEDO 15,5 X 41 MM 12V 21W NARVA","R$ 4,90",20,20,20,500
17635,LAMPADA 1141 12V 21W NARVA,"R$ 1,34",20,20,20,500
17638,LAMPADA 1141 12V 21W NARVA AMBAR,"R$ 3,06",20,20,20,500
17643,LAMPADA 1141 24V 21W NARVA,"R$ 1,68",20,20,20,500
17649,LAMPADA 1141 24V 21W NARVA (SERVIÇO PESADO) AMBAR,"R$ 7,22",20,20,20,500
17881,LAMPADA 1034 12V 21/4W NARVA (P.DESENCONTRADO),"R$ 3,70",20,20,20,500
17916,LAMPADA 1034 12V 21/5W NARVA (P.DESENCONTRADO),"R$ 1,86",20,20,20,500
17918,LAMPADA 1176 12V 21/5W 2P NARVA (P.ENCONTRADO),"R$ 1,70",20,20,20,500
17919,LAMPADA 1157 12V 21/5W 2P NARVA (BASE VIDRO),"R$ 9,20",20,20,20,500
17925,LAMPADA 1034 24V 21/5W NARVA (P.DESENCONTRADO),"R$ 2,28",20,20,20,500
17927,LAMPADA 1176 24V 21/5W 2P NARVA (P.ENCONTRADO),"R$ 2,52",20,20,20,500
17941,LAMPADA 3156 12V 27W 1P NARVA BASE PLASTICA (USA),"R$ 4,04",20,20,20,500
17945,LAMPADA 3157 12V 2P NARVA BASE PLASTICA (USA),"R$ 4,86",20,20,20,500
17948,LAMPADA 3157 12V 2P NARVA BASE PLASTICA(USA) AMBAR,"R$ 7,84",20,20,20,500
18010,"KIT LAMPADA TORPEDO LED 10,5X38 12V 0.35W NARVA","R$ 40,58",20,20,20,500
42001,LAMPADA MOTO FAROL M5 12V 18/18W ORIGINAL NARVA,"R$ 6,76",20,20,20,500
42005,LAMPADA MOTO FAROL M5 12V 25/25W ORIGINAL NARVA,"R$ 6,76",20,20,20,500
42007,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"R$ 7,00",20,20,20,500
42017,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"R$ 7,52",20,20,20,500
42025,LAMPADA MOTO FAROL M5 12V 25/25W ORIGINAL NARVA,"R$ 7,82",20,20,20,500
42027,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"R$ 7,94",20,20,20,500
48004,LAMPADA HB1(9004) 12V 65/45W ORIGINAL STD NARVA,"R$ 15,14",20,20,20,500
48005,LAMPADA HB3(9005) 12V 60W ORIGINAL STD NARVA,"R$ 15,16",20,20,20,500
48006,LAMPADA HB4(9006) 12V 51W ORIGINAL STD NARVA,"R$ 22,53",20,20,20,500
48007,LAMPADA HB5(9007) 12V 65/55W ORIGINAL STD NARVA,"R$ 29,76",20,20,20,500
48041,LAMPADA H27W/1 12V 27W ORIGINAL STD NARVA,"R$ 16,54",20,20,20,500
48042,LAMPADA H27W/2 12V 27W ORIGINAL STD NARVA,"R$ 16,54",20,20,20,500
48052,"LAMPADA 0896 12,8V 37,5W NARVA ORIGINAL STD","R$ 17,08",20,20,20,500
48055,"LAMPADA 0885 12,8V 50W NARVA ORIGINAL STD","R$ 17,34",20,20,20,500
48056,"LAMPADA 0886 12,8V 50W NARVA ORIGINAL STD","R$ 17,08",20,20,20,500
48060,LAMPADA MOTO FAROL H4 12V 35/35 NARVA(SUPER BRANCA,"R$ 20,24",20,20,20,500
48072,LAMPADA H11 12V 55/60W ORIGINAL STD NARVA,"R$ 45,57",20,20,20,500
48076,LAMPADA H8 12V 35W ORIGINAL STD NARVA,"R$ 54,90",20,20,20,500
48077,LAMPADA H9 12V 65W ORIGINAL STD NARVA,"R$ 77,94",20,20,20,500
48092,LAMPADA H13(9008) 12V 60/55W NARVA ORIGINAL STD US,"R$ 48,30",20,20,20,500
48095,LAMPADA H10(9145) 12V 42W ORIGINAL STD NARVA USA,"R$ 26,08",20,20,20,500
48097,LAMPADA H12(9055) 12V 53W ORIGINAL STD NARVA USA,"R$ 26,08",20,20,20,500
48222,LAMPADA MOTO FAROL H4 12V 35/35 NARVA (COMPETIÇÃO),"R$ 16,98",20,20,20,500
48320,LAMPADA H1 12V 55W ORIGINAL STD NARVA,"R$ 6,65",20,20,20,500
48321,LAMPADA H3 12V 55W ORIGINAL STD NARVA,"R$ 6,62",20,20,20,500
48328,LAMPADA H7 12V 55W ORIGINAL STD NARVA,"R$ 14,56",20,20,20,500
48350,LAMPADA H1 12V 100W NARVA (COMPETIÇÃO),"R$ 10,06",20,20,20,500
48351,LAMPADA H3 12V 100W NARVA (COMPETIÇÃO),"R$ 8,78",20,20,20,500
48613,LAMPADA HB4(9006) 12V 51W NARVA (SUP.POTENC.) AZUL,"R$ 32,96",20,20,20,500
48616,LAMPADA HB3(9005) 12V 60W NARVA (SUP.POTENC.) AZUL,"R$ 33,20",20,20,20,500
48630,LAMPADA H1 12V 55W NARVA (SUPER POTENCIA) AZUL,"R$ 62,20",20,20,20,500
48633,LAMPADA H3 12V 55W NARVA (SUPER POTENCIA) AZUL,"R$ 29,24",20,20,20,500
48638,LAMPADA H7 12V 55W NARVA (SUPER POTENCIA) AZUL,"R$ 100,38",20,20,20,500
48677,LAMPADA H4 12V 60/55W NARVA (SUPER POTENCIA) AZUL,"R$ 23,70",20,20,20,500
48700,LAMPADA H3 24V 70W ORIGINAL STD NARVA,"R$ 16,98",20,20,20,500
48702,LAMPADA H1 24V 70W ORIGINAL STD NARVA,"R$ 13,32",20,20,20,500
48708,LAMPADA H1 24V 70W NARVA (SERVIÇO PESADO),"R$ 20,38",20,20,20,500
48709,LAMPADA H3 24V 70W NARVA (SERVIÇO PESADO),"R$ 15,22",20,20,20,500
48728,LAMPADA H7 24V 70W ORIGINAL STD NARVA,"R$ 26,32",20,20,20,500
48729,LAMPADA H7 24V 75/70W NARVA (SERVIÇO PESADO),"R$ 64,96",20,20,20,500
48750,LAMPADA H1 24V 100W NARVA (COMPETIÇÃO),"R$ 26,32",20,20,20,500
48751,LAMPADA H3 24V 100W NARVA (COMPETIÇÃO),"R$ 20,38",20,20,20,500
48881,LAMPADA H4 12V 55W ORIGINAL STD NARVA,"R$ 10,45",20,20,20,500
48884,LAMPADA H5 12V 60/55W NARVA (COMPETIÇÃO),"R$ 9,54",20,20,20,500
48888,LAMPADA H4 12V 55W NARVA (SEVIÇO PESADO),"R$ 19,58",20,20,20,500
48889,LAMPADA H4 12V 60/55W NARVA (LONGA VIDA),"R$ 19,58",20,20,20,500
48892,LAMPADA H4 24V 75/70W ORIGINAL STD NARVA,"R$ 15,42",20,20,20,500
48894,LAMPADA H5 24V 75/70W NARVA (COMPETIÇÃO),"R$ 17,70",20,20,20,500
48898,LAMPADA H4 24V 70W NARVA (SERVIÇO PESADO),"R$ 24,74",20,20,20,500
48904,LAMPADA H4 (H5) 12V 100/90W NARVA (COMPETIÃO)P45T,"R$ 14,90",20,20,20,500
48954,LAMPADA H4 (H5) 12V 130/100W NARVA (COMPETIÇÃO)P45,"R$ 20,24",20,20,20,500
49014,LAMPADA MOTO FAROL ASSIMETRICA 12V 15W NARVA ORIG.,"R$ 7,02",20,20,20,500
49072,LAMPADA MOTO FAROL 1141 12V 35W ORIGINAL NARVA,"R$ 66,82",20,20,20,500
49211,LAMPADA ASSIMETRICA 12V 45/40W P45T ORIGINAL NARVA,"R$ 8,00",20,20,20,500
49321,LAMPADA ASSIMETRICA 24V 55/50W P45T ORIGINAL NARVA,"R$ 10,82",20,20,20,500
49671,LAMPADA MOTO FAROL 1034 12V 45/40W ORIGINAL NARVA,"R$ 9,94",20,20,20,500
68161,LAMPADA H6 12V 6W HAL. NARVAORIGINAL STD (68162),"R$ 14,16",20,20,20,500
68162,LAMPADA H6 12V 6W HAL. NARVA (LONGA VIDA) (68161),"R$ 13,12",20,20,20,500
68163,LAMPADA H6 12V 6W HAL. NARVA (SUPER POTENCIA) AZUL,"R$ 16,54",20,20,20,500
68191,LAMPADA H21 12V 21W HAL. NARVA PISCA (VECTRA),"R$ 14,16",20,20,20,500
68196,LAMPADA H21 24V 21W HAL. NARVA ORIGINAL STD,"R$ 22,76",20,20,20,500
98502,KIT LAMPADA H1 12V 55W NARVA (SUPER POTENCIA) AZUL,"R$ 65,84",20,20,20,500
98504,KIT LAMPADA H4 12V 60/55W NARVA (SUP.POTENCIA)AZUL,"R$ 68,45",20,20,20,500
98508,KIT LAMPADA H7 12V 55W NARVA (SUPER POTENCIA),"R$ 80,85",20,20,20,500
98509,KIT LAMPADA H7 12V 55W NARVA (SUPER POTENCIA),"R$ 80,85",20,20,20,500
98513,KIT LAMPADA H4 12V 100/90W NARVA (SUPER POTENCIA),"R$ 33,99",20,20,20,500
98551,KIT LAMPADA HB3(9005) 12V 60W NARVA (SUP. POTENCIA,"R$ 90,22",20,20,20,500
98651,KIT LAMPADA H1 12V 55W NARVA (ALTO CONTRASTE),"R$ 90,22",20,20,20,500
98655,KIT LAMPADA HB3(9005) 12V 60W NARVA (ALTO CONTRAST,"R$ 90,22",20,20,20,500
98656,KIT LAMPADA HB4(9006) 12V 51W NARVA (ALTO CONTRAST,"R$ 90,22",20,20,20,500
98657,KIT LAMPADA H7 12V 55W NARVA (ALTO CONTRASTE),"R$ 90,22",20,20,20,500
98671,KIT LAMPADA H1 12V 105W NARVA (COMPETIÇÃO),"R$ 54,70",20,20,20,500
98750,KIT LAMPADA BASE PLASTICA 150 PÇS 15 MODELOS NARVA,"R$ 383,64",20,20,20,500
104360,SENSOR NIVEL RESERVATARIO GOL/SANTANA,"R$ 28,70",20,20,20,500
202460,INTERRUPTOR DESEMBASADOR VIDRO TRAZ ESCORT/VERONA,"R$ 38,50",20,20,20,500
202461,INTERRUPTOR MILHA ESCORT/VERONA 93>,"R$ 41,60",20,20,20,500
221004025,BOIA TANQUE BRASILIA/VARIANT 73->77,"R$ 30,38",20,20,20,500
221030013,BOIA TANQUE GOL/VOYAGE/PARATI GASOLINA,"R$ 94,50",20,20,20,500
001.002OPR,BOIA TANQUE F100/F1000 76->92,"R$ 86,40","0,2","0,2","0,2",500
001.006OPR,BOIA TANQUE CORCEL/DEL REY 83->87 GASOLINA,"R$ 127,83","0,2","0,2","0,2",500
001.007OPR,BOIA TANQUE BELINA 83->87 GASOLINA,"R$ 83,58","0,2","0,2","0,2",500
001.008OPR,BOIA TANQUE CORCEL/DEL REY 83->87 ALCOOL,"R$ 103,26","0,2","0,2","0,2",500
001.009OPR,BOIA TANQUE BELINA 83->87 ALCOOL,"R$ 82,71","0,2","0,2","0,2",500
001.010OPR,BOIA TANQUE PAMPA 4X2 83-> GASOLINA,"R$ 47,85","0,2","0,2","0,2",500
001.011OPR,BOIA TANQUE PAMPA 4X2 83->88 ALCOOL,"R$ 89,67","0,2","0,2","0,2",500
001.026OPR,BOIA TANQUE CORCEL/DEL REY C/RETORNO GAS/ALC,"R$ 82,77","0,2","0,2","0,2",500
001.027OPR,BOIA TANQUE BELINA 80 C/RETORNO ALC,"R$ 76,73","0,2","0,2","0,2",500
001.043OPR,BOIA TANQUE PAMPA 4X4 90->96 ALCOOL,"R$ 89,18","0,2","0,2","0,2",500
001.044OPR,BOIA TANQUE ESCORT 84->86 S/ALARME ALCOOL,"R$ 126,26","0,2","0,2","0,2",500
001.045OPR,BOIA TANQUE ESCORT 84->86 C/ALARME ALCOOL,"R$ 121,67","0,2","0,2","0,2",500
001.046OPR,BOIA TANQUE ESCORT 84->86 S/ALARME GASOLINA,"R$ 68,87","0,2","0,2","0,2",500
001.053OPR,BOIA TANQUE DEL REY 85->,"R$ 60,03","0,2","0,2","0,2",500
001.074OPR,BOIA TANQUE MBB TQ METALICO 210/300LT,"R$ 53,67","0,2","0,2","0,2",500
001.075OPR,BOIA TANQUE BELINA/CORCEL/JEEP GASOLINA,"R$ 39,16","0,2","0,2","0,2",500
001.088OPR,BOIA TANQUE F350/400/700/750/2000/4000,"R$ 52,81","0,2","0,2","0,2",500
001.089OPR,BOIA TANQUE F11000/13000 85->,"R$ 67,75","0,2","0,2","0,2",500
001.096OPR,BOIA TANQUE PAMPA 4X4 88-> GASOLINA,"R$ 33,90","0,2","0,2","0,2",500
001.102OPR,BOIA TANQUE PAMPA 4X2 89->97 ALCOOL,"R$ 70,43","0,2","0,2","0,2",500
001.103OPR,BOIA TANQUE PAMPA 4X4 88-> ALCOOL,"R$ 51,22",20,20,20,500
001.113OPR,BOIA TANQUE DEL REY 88->91 ALCOOL,"R$ 68,42",20,20,20,500
001.114OPR,BOIA TANQUE BELINA 87->91 ALCOOL,"R$ 86,06",20,20,20,500
001.120OPR,BOIA TANQUE MBB TQ METALICO 100/140LT,"R$ 153,47",20,20,20,500
001.130OPR,BOIA TANQUE MONZA 84->89 GASOLINA/ALCOOL,"R$ 39,88",20,20,20,500
001.132OPR,BOIA TANQUE KADETT 89->91 GASOLINA/ALCOOL,"R$ 52,23",20,20,20,500
001.135OPR,BOIA TANQUE IPANEMA 89->91 GASOLINA/ALCOOL,"R$ 42,04",20,20,20,500
001.137OPR,BOIA TANQUE MBB TQ 300LT,"R$ 130,51",20,20,20,500
001.278OPR,BOIA TANQUE CHEVETTE 84->89 GASOLINA/ALCOOL,"R$ 40,10",20,20,20,500
001.279OPR,BOIA TANQUE MARAJÓ 81->89 GASOLINA/ALCOOL,"R$ 34,38",20,20,20,500
001.280OPR,BOIA TANQUE OPALA 84L 85->89 GASOLINA/ALCOOL,"R$ 43,72",20,20,20,500
001.281OPR,BOIA TANQUE OPALA 65L 85->89 GASOLINA/ALCOOL,"R$ 73,63",20,20,20,500
001.284OPR,BOIA TANQUE MBB TQ 300LT,"R$ 129,13",20,20,20,500
001.285OPR,BOIA TANQUE CAMINHOES FORD/VW 90->93 150LT,"R$ 64,07",20,20,20,500
001.287OPR,BOIA TANQUE MBB TQ METALICO 300LT,"R$ 82,20",20,20,20,500
001.289OPR,BOIA TANQUE ROYALE 91->96 S/INJEÇÃO ALCOOL,"R$ 49,27",20,20,20,500
001.290OPR,BOIA TANQUE GOL/PARATI/...85->89 GAS C/RETORNO,"R$ 46,61",20,20,20,500
001.291OPR,BOIA TANQUE GOL/PARATI/...85->96 ALC S/RETORNO,"R$ 60,81",20,20,20,500
001.293OPR,BOIA TANQUE ROYALE 91->96 S/INJEÇÃO GASOLINA,"R$ 51,80",20,20,20,500
001.294OPR,BOIA TANQUE GOL/PARATI/...90->96 GAS C/RETORNO,"R$ 50,69",20,20,20,500
001.296OPR,BOIA TANQUE CHEVETTE HATCH 90->93 GASOLINA/ALCOOL,"R$ 37,17",20,20,20,500
001.297OPR,BOIA TANQUE MONZA 90->96 GASOLINA/ALCOOL,"R$ 38,40",20,20,20,500
001.298OPR,BOIA TANQUE CHEVETTE 90->93 GASOLINA/ALCOOL,"R$ 38,11",20,20,20,500
001.301OPR,BOIA TANQUE ESCORT 87 S/ALARME GASOLINA,"R$ 138,46",20,20,20,500
001.303OPR,BOIA TANQUE ESCORT 87 S/ALARME ALCOOL,"R$ 184,95",20,20,20,500
001.304OPR,BOIA TANQUE ESCORT 87 C/ALARME ALCOOL,"R$ 155,87",20,20,20,500
001.311OPR,BOIA TANQUE CAMINHOES GM 150 LT,"R$ 105,28",20,20,20,500
001.312OPR,BOIA TANQUE CAMINHOES GM 150 LT,"R$ 101,54",20,20,20,500
001.313OPR,BOIA TANQUE CAMINHOES GM TANQUE 104 LTS,"R$ 100,30",20,20,20,500
001.314OPR,BOIA TANQUE A20/C20/D20/D10 86->92,"R$ 72,95",20,20,20,500
001.321OPR,BOIA TANQUE PASSAT 74->82 C/RETORNO GASOLINA,"R$ 51,81",20,20,20,500
001.325OPR,BOIA TANQUE DEL REY 90->91 GASOLINA,"R$ 78,92",20,20,20,500
001.326OPR,BOIA TANQUE BELINA 90->91 GASOLINA,"R$ 83,54",20,20,20,500
001.327OPR,BOIA TANQUE PAMPA 4X2 89->97 GASOLINA,"R$ 79,17",20,20,20,500
001.328OPR,BOIA TANQUE PAMPA 4X4 GASOLINA,"R$ 57,01",20,20,20,500
001.329OPR,BOIA TANQUE ESCORT/APOLO 88->92 C/ALARME ALCOOL,"R$ 60,78",20,20,20,500
001.330OPR,BOIA TANQUE ESCORT/APOLO 88->92 S/ALARME ALCOOL,"R$ 60,78",20,20,20,500
001.331OPR,BOIA TANQUE ESCORT/APOLO 88->92 C/ALARME GASOLINA,"R$ 64,24",20,20,20,500
001.332OPR,BOIA TANQUE ESCORT/APOLO 88->92 S/ALARME GASOLINA,"R$ 61,76",20,20,20,500
001.333OPR,BOIA TANQUE KOMBI CLIPPER 93->97 GASOLINA,"R$ 48,12",20,20,20,500
001.337OPR,BOIA TANQUE LOGUS SEM INJEÇÃO 92->94 ALCOOL,"R$ 84,95",20,20,20,500
001.338OPR,BOIA TANQUE LOGUS SEM INJEÇÃO 93->94 GAS/ALC,"R$ 89,20",20,20,20,500
001.339OPR,BOIA TANQUE ESCORT 93->94 ALCOOL,"R$ 84,27",20,20,20,500
001.340OPR,BOIA TANQUE ESCORT 93->94 GASOLINA,"R$ 61,57",20,20,20,500
001.349OPR,BOIA TANQUE OPALA 90->92 TANQUE PLASTICO ALC/GAS,"R$ 83,74",20,20,20,500
001.352OPR,BOIA TANQUE MBB TQ METALICO 300LT,"R$ 186,67",20,20,20,500
001.358OPR,BOIA TANQUE KADETT 91->93 GASOLINA/ALCOOL,"R$ 40,54",20,20,20,500
001.362OPR,BOIA TANQUE CARGO 85->92 150LT,"R$ 86,69",20,20,20,500
001.363OPR,BOIA TANQUE CARGO/VW 87->92 285LT,"R$ 96,10",20,20,20,500
001.364OPR,BOIA TANQUE F1000 92-> 110LT DIESEL,"R$ 70,38",20,20,20,500
001.367OPR,BOIA TANQUE PAMPA 4X2 91->97 GASOLINA,"R$ 75,90",20,20,20,500
001.371OPR,BOIA TANQUE OMEGA 91->98 GASOLINA/ALCOOL,"R$ 73,35",20,20,20,500
001.372OPR,BOIA TANQUE SUPREMA 93-> GASOLINA/ALCOOL,"R$ 174,58",20,20,20,500
001.373OPR,BOIA TANQUE CAMINHOES FORD/VW TQ.190LT MET.,"R$ 74,75",20,20,20,500
001.374OPR,BOIA TANQUE IPANEMA 91->93 GASOLINA/ALCOOL,"R$ 42,41",20,20,20,500
001.375OPR,BOIA TANQUE C20/SILVERADO 120L 97-> GASOLINA,"R$ 99,20",20,20,20,500
001.376OPR,BOIA TANQUE A20 120L 92-> TANQUE PLASTICO ALCOOL,"R$ 100,34",20,20,20,500
001.377OPR,BOIA TANQUE CAMINHOES VW TQ PLASTICO 275LT,"R$ 99,67",20,20,20,500
001.378OPR,BOIA TANQUE F12000/14000 92->93 285LT,"R$ 84,69",20,20,20,500
001.379OPR,BOIA TANQUE BANDEIRANTE 82->93,"R$ 82,63",20,20,20,500
001.380OPR,BOIA TANQUE BANDEIRANTE 93->,"R$ 79,38",20,20,20,500
001.386OPR,BOIA TANQUE KADETT 93->97 TQ PLASTICO,"R$ 93,48",20,20,20,500
001.387OPR,BOIA TANQUE IPANEMA TANQUE PLÁSTICO ALC/GAS,"R$ 78,37",20,20,20,500
001.392OPR,BOIA TANQUE F12000/14000 93->98 275LT,"R$ 144,56",20,20,20,500
001.396OPR,BOIA TANQUE IPANEMA 94->96 GASOLINA/ALCOOL,"R$ 78,37",20,20,20,500
001.406OPR,BOIA TANQUE CAMINHOES VW TQ PLASTICO 150LT,"R$ 104,42",20,20,20,500
001.407OPR,BOIA TANQUE F12000/14000 94->98 150LT,"R$ 151,26",20,20,20,500
001.410OPR,BOIA TANQUE TRATORES AGRALE,"R$ 88,49",20,20,20,500
001.417OPR,BOIA TANQUE MBB TQ PLASTICO 210LT,"R$ 147,87",20,20,20,500
001.530OPR,BOIA TANQUE CHEVETTE 73->84 GASOLINA/ALCOOL,"R$ 39,80",20,20,20,500
001.532OPR,BOIA TANQUE CHEVETTE 84->87 GASOLINA/ALCOOL,"R$ 46,58",20,20,20,500
001.550OPR,BOIA TANQUE OPALA/... 79->84 65L,"R$ 55,89",20,20,20,500
